year,month,#projects,submitted,not_submitted,completed,not completed,total #projects
2000,jan,5,5,0,5,0,5
2000,feb,0,0,0,0,0,
2000,march,0,0,0,0,0,
2000,april,0,0,0,0,0,
2000,may,0,0,0,0,0,
2000,june,0,0,0,0,0,
2000,july,0,0,0,0,0,
2000,aug,0,0,0,0,0,
2000,sept,0,0,0,0,0,
2000,oct,0,0,0,0,0,
2000,nov,0,0,0,0,0,
2000,dec,0,0,0,0,0,
2001,jan,2,2,0,2,0,
2001,feb,0,0,0,0,0,
2001,march,0,0,0,0,0,
2001,april,0,0,0,0,0,
2001,may,0,0,0,0,0,
2001,june,0,0,0,0,0,
2001,july,0,0,0,0,0,
2001,aug,0,0,0,0,0,
2001,sept,0,0,0,0,0,
2001,oct,0,0,0,0,0,
2001,nov,0,0,0,0,0,
2001,dec,0,0,0,0,0,
2002,jan,19,19,0,19,0,21
2002,feb,0,0,0,0,0,
2002,march,0,0,0,0,0,
2002,april,0,0,0,0,0,
2002,may,0,0,0,0,0,
2002,june,0,0,0,0,0,
2002,july,0,0,0,0,0,
2002,aug,2,2,0,2,0,
2002,sept,0,0,0,0,0,
2002,oct,0,0,0,0,0,
2002,nov,0,0,0,0,0,
2002,dec,0,0,0,0,0,
2003,jan,11,11,0,11,0,24
2003,feb,0,0,0,0,0,
2003,march,0,0,0,0,0,
2003,april,4,4,0,4,0,
2003,may,0,0,0,0,0,
2003,june,0,0,0,0,0,
2003,july,0,0,0,0,0,
2003,aug,9,9,0,9,0,
2003,sept,0,0,0,0,0,
2003,oct,0,0,0,0,0,
2003,nov,0,0,0,0,0,
2003,dec,0,0,0,0,0,
2004,jan,9,9,0,9,0,21
2004,feb,0,0,0,0,0,
2004,march,0,0,0,0,0,
2004,april,0,0,0,0,0,
2004,may,6,6,0,6,0,
2004,june,0,0,0,0,0,
2004,july,1,1,0,1,0,
2004,aug,4,4,0,4,0,
2004,sept,0,0,0,0,0,
2004,oct,0,0,0,0,0,
2004,nov,0,0,0,0,0,
2004,dec,1,1,0,1,0,
2005,jan,21,21,0,21,0,
2005,feb,0,0,0,0,0,
2005,march,0,0,0,0,0,
2005,april,0,0,0,0,0,
2005,may,5,5,0,5,0,
2005,june,1,1,0,1,0,
2005,july,0,0,0,0,0,
2005,aug,12,12,0,12,0,
2005,sept,0,0,0,0,0,
2005,oct,0,0,0,0,0,
2005,nov,1,1,0,1,0,
2005,dec,0,0,0,0,0,
2006,jan,28,28,0,28,0,
2006,feb,1,1,0,1,0,
2006,march,0,0,0,0,0,
2006,april,2,2,0,2,0,
2006,may,8,8,0,8,0,
2006,june,0,0,0,0,0,
2006,july,6,6,0,5,1,
2006,aug,19,18,1,18,0,
2006,sept,2,2,0,2,0,
2006,oct,1,1,0,1,0,
2006,nov,1,1,0,1,0,
2006,dec,6,5,1,5,1,
2007,jan,6,6,0,6,0,
2007,feb,0,0,0,0,0,
2007,march,4,4,0,4,0,
2007,april,3,3,0,3,0,
2007,may,7,7,0,6,0,
2007,june,1,1,0,1,0,
2007,july,3,3,0,3,0,
2007,aug,12,12,0,12,0,
2007,sept,12,10,2,4,8,
2007,oct,3,3,0,3,0,
2007,nov,0,0,0,0,0,
2007,dec,4,3,1,4,0,
2008,jan,4,4,0,4,0,
2008,feb,2,2,0,2,0,
2008,march,1,1,0,1,0,
2008,april,4,4,0,4,0,
2008,may,5,5,0,5,0,
2008,june,1,1,0,1,0,
2008,july,2,2,0,2,0,
2008,aug,10,9,1,9,1,
2008,sept,3,2,1,2,1,
2008,oct,16,16,0,16,0,
2008,nov,4,4,0,4,0,
2008,dec,24,22,2,16,8,
2009,jan,4,4,0,3,1,
2009,feb,3,2,1,2,1,
2009,march,16,14,2,11,5,
2009,april,30,29,1,30,0,
2009,may,37,37,0,36,1,
2009,june,23,23,0,22,1,
2009,july,23,23,0,22,1,
2009,aug,36,33,3,34,2,
2009,sept,42,42,0,41,1,
2009,oct,39,39,0,39,0,
2009,nov,35,33,2,33,2,
2009,dec,26,23,3,21,5,
2010,jan,28,26,2,25,3,349
2010,feb,38,36,2,35,3,
2010,march,39,33,6,34,5,
2010,april,42,30,12,38,4,
2010,may,38,21,17,30,8,
2010,june,28,26,2,26,2,
2010,july,16,16,0,16,0,
2010,aug,33,29,4,29,4,
2010,sept,17,16,1,16,1,
2010,oct,18,16,2,16,2,
2010,nov,32,30,2,29,3,
2010,dec,20,17,3,17,3,
2011,jan,29,25,4,25,4,
2011,feb,32,31,1,31,1,
2011,march,39,39,0,39,0,
2011,april,47,46,1,46,1,
2011,may,34,32,2,32,2,
2011,june,21,20,1,20,1,
2011,july,18,18,0,17,1,
2011,aug,47,44,3,44,3,
2011,sept,30,30,0,30,0,
2011,oct,31,30,1,30,1,
2011,nov,38,36,2,36,2,
2011,dec,34,26,8,26,8,
2012,jan,33,29,4,29,4,
2012,feb,33,31,2,31,2,
2012,march,27,23,4,23,4,
2012,april,36,33,3,33,3,
2012,may,47,43,4,42,5,
2012,june,16,12,4,12,4,
2012,july,21,20,1,20,1,
2012,aug,27,22,5,22,5,
2012,sept,33,28,5,28,5,
2012,oct,41,38,3,37,4,
2012,nov,17,15,2,14,3,
2012,dec,25,18,7,18,7,
2013,jan,17,15,2,15,2,
2013,feb,19,18,1,18,1,
2013,march,25,23,2,23,2,
2013,april,45,44,1,44,1,
2013,may,42,40,2,38,4,
2013,june,10,9,1,9,1,
2013,july,23,20,3,20,3,
2013,aug,38,25,13,25,13,
2013,sept,11,7,4,7,4,
2013,oct,15,11,4,11,4,
2013,nov,17,15,2,15,2,
2013,dec,25,20,5,19,6,
2014,jan,13,9,4,9,4,
2014,feb,17,14,3,14,3,
2014,march,30,29,1,29,1,
2014,april,28,24,4,24,4,
2014,may,30,28,2,27,3,
2014,june,14,13,1,13,1,
2014,july,38,32,6,29,9,
2014,aug,19,14,5,14,5,
2014,sept,13,7,6,7,6,
2014,oct,27,24,3,24,3,
2014,nov,54,46,8,43,11,
2014,dec,11,9,2,9,2,
2015,jan,11,10,1,10,1,297
2015,feb,20,17,3,17,3,
2015,march,16,15,1,15,1,
2015,april,62,60,2,59,3,
2015,may,22,21,1,20,2,
2015,june,18,17,1,16,2,
2015,july,10,7,3,7,3,
2015,aug,44,36,8,30,14,
2015,sept,7,6,1,6,1,
2015,oct,31,30,1,30,1,
2015,nov,44,41,3,31,13,
2015,dec,12,11,1,9,3,
2016,jan,7,4,3,4,3,
2016,feb,28,26,2,24,4,
2016,march,32,26,6,26,6,
2016,april,68,62,6,56,12,
2016,may,33,29,4,27,6,
2016,june,17,14,3,14,3,
2016,july,34,28,6,26,8,
2016,aug,14,12,2,12,2,
2016,sept,12,12,0,12,0,
2016,oct,9,9,0,9,0,
2016,nov,27,23,4,19,8,
2016,dec,22,22,0,15,7,
2017,jan,13,13,0,9,4,
2017,feb,14,14,0,14,0,
2017,march,26,22,4,19,7,
2017,april,44,41,3,13,31,
2017,may,17,15,2,1,16,
2017,june,1,0,1,0,1,
2017,july,36,35,1,0,36,
2017,aug,3,2,1,1,2,
2017,sept,0,0,0,0,0,
2017,oct,1,1,0,0,1,
2017,nov,2,2,0,0,2,
2017,dec,3,2,1,0,3,
2018,jan,1,1,0,0,1,
2018,feb,0,0,0,0,0,
2018,march,0,0,0,0,0,
2018,april,1,0,1,0,1,
2018,may,7,7,0,0,7,
2018,june,0,0,0,0,0,
2018,july,0,0,0,0,0,
2018,aug,0,0,0,0,0,
2018,sept,0,0,0,0,0,
2018,oct,0,0,0,0,0,
2018,nov,0,0,0,0,0,
2018,dec,9,9,0,0,9,
